subject,gender,age
644246,F,31-35
645450,F,26-30
645551,F,22-25
646048,F,31-35
647858,M,26-30
650746,M,26-30
654350,F,26-30
654552,F,31-35
654754,F,31-35
656253,M,26-30
656657,M,22-25
657659,F,22-25
660951,F,26-30
662551,M,26-30
663755,F,22-25
664757,M,26-30
665254,F,31-35
667056,M,22-25
668361,M,31-35
671855,M,26-30
672756,M,31-35
673455,F,31-35
675661,M,31-35
677766,M,26-30
677968,F,31-35
679568,F,26-30
679770,M,26-30
680250,F,22-25
680452,F,31-35
680957,F,26-30
683256,F,26-30
685058,M,31-35
686969,M,22-25
687062,M,26-30
687163,M,22-25
688569,F,26-30
689369,M,31-35
689470,M,36+
690152,M,26-30
692964,M,22-25
693461,F,31-35
693764,M,31-35
694362,F,22-25
695768,M,26-30
696063,F,31-35
698168,M,22-25
700634,M,26-30
701535,F,31-35
702133,F,31-35
704238,M,26-30
705341,M,31-35
706040,F,22-25
707244,F,26-30
707749,M,31-35
709551,F,31-35
713239,F,26-30
715041,F,31-35
715647,F,31-35
715950,F,26-30
720337,M,22-25
723141,M,31-35
724446,M,22-25
725751,M,26-30
727553,F,26-30
727654,F,22-25
728454,M,22-25
729254,M,22-25
729355,M,26-30
729557,F,22-25
731140,F,31-35
732243,F,31-35
733548,F,31-35
734045,M,22-25
734247,F,31-35
735148,M,22-25
737960,F,22-25
742549,M,26-30
743248,M,31-35
744553,F,31-35
745555,F,31-35
748056,M,31-35
748258,F,22-25
748662,F,31-35
749058,M,22-25
749361,F,26-30
751348,M,26-30
751550,F,26-30
753150,M,22-25
753251,M,26-30
756055,M,22-25
757764,F,36+
759869,M,31-35
760551,F,26-30
761957,F,26-30
763557,M,26-30
765056,M,26-30
765864,F,26-30
766563,M,26-30
767464,F,26-30
769064,M,26-30
770352,F,26-30
771354,F,26-30
773257,M,26-30
774663,M,26-30
779370,F,26-30
782157,M,26-30
782561,F,31-35
783462,M,22-25
784565,F,26-30
786569,F,31-35
788674,F,31-35
788876,F,31-35
789373,M,26-30
792564,F,31-35
792766,M,31-35
792867,M,36+
793465,M,22-25
800941,M,26-30
802844,F,22-25
803240,M,22-25
804646,F,31-35
809252,F,26-30
810439,M,26-30
810843,M,31-35
812746,M,22-25
814548,F,31-35
814649,M,26-30
815247,M,26-30
816653,F,22-25
816855,M,26-30
818455,M,31-35
818859,M,31-35
820745,M,31-35
822244,F,26-30
822850,M,26-30
825048,F,31-35
825351,M,26-30
825553,M,26-30
825654,F,31-35
826353,F,26-30
826454,F,26-30
827052,F,26-30
828862,F,26-30
832651,M,22-25
833148,M,26-30
833249,F,26-30
835657,F,31-35
837560,M,26-30
837863,M,26-30
837964,F,31-35
841349,F,26-30
843151,M,26-30
844961,F,31-35
845458,F,31-35
849264,F,31-35
849971,M,22-25
852455,F,26-30
856463,F,31-35
856766,F,31-35
856968,M,31-35
857263,M,22-25
